origin,destination,count,delay
AMA,DAL,1216,446
RSW,MKE,524,155
TPA,IAH,1778,637
SFO,OGG,1428,644
LAX,LIH,1303,471
MIA,RDU,1016,411
STX,MIA,537,220
MSP,ABQ,213,75
CID,ORD,2704,846
LAS,ORD,4249,1509
MSP,TUL,434,211
LAX,ABQ,1837,933
IAH,ONT,474,235
IAH,CRP,2135,822
GRR,DEN,774,278
IAH,MCI,1628,660
SDF,DEN,523,162
IAH,HNL,334,202
CLT,JFK,2574,1229
TUL,PHX,590,170
MIA,LAX,3024,1220
DFW,PIT,1421,440
MSP,RSW,915,291
SMF,MSP,541,148
DFW,BPT,973,476
SMF,HNL,334,193
CMH,ORD,3264,1110
MSP,DLH,618,162
MSP,FSD,1285,487
BDL,PBI,339,173
PSP,LAX,729,336
DFW,ORD,7870,2931
CLT,MCO,2957,1484
CLT,MEM,690,332
ATL,MSY,5572,1651
BWI,SAN,711,261
LAS,ATL,4113,1243
MCO,MDW,2576,861
RNO,LAS,3218,1168
SMF,SAN,2791,1180
BOS,PBI,1606,745
SMF,LAX,5574,2876
SJC,LAX,6339,3457
MSP,PHX,4052,1373
COS,DEN,2088,725
CLT,DTW,3090,961
OGG,ITO,668,197
PUB,DEN,264,87
JFK,SLC,1839,687
SLC,CLT,617,179
HOU,OKC,1198,501
DFW,IAH,4006,1516
DFW,SMF,1326,433
ORD,LAS,4268,1957
MKE,MSP,2237,816
MSP,SAN,1071,289
MIA,CMH,595,223
RHI,MSP,667,398
MKE,ORD,4826,1909
PDX,TUS,218,68
CDC,SLC,573,180
KTN,WRG,332,127
ATL,MSN,893,219
RSW,ACY,483,218
DSM,DEN,1158,465
MSP,ORD,6296,2707
LAS,PIT,598,197
LAS,SAN,4105,2052
OKC,PHX,657,230
LAX,SFO,13457,5845
CLT,DEN,1902,852
ORD,ANC,639,288
SJC,KOA,193,60
BOS,EWR,4463,1418
MLI,ORD,1615,502
IAD,BOS,2019,659
ORD,BOI,543,339
CLT,DCA,2456,1129
CLT,CLE,1156,366
CLT,TPA,2856,1172
CLT,IND,538,130
ATL,HOU,4071,1174
STL,SAT,619,240
ORD,TUS,606,234
DFW,BWI,1774,739
BLI,LAS,217,53
SLC,EWR,292,86
LGA,DTW,4426,1715
SLC,BZN,1066,311
SLC,OKC,608,226
BOS,FLL,2188,1045
DTW,RSW,1613,556
TPA,BOS,1104,498
BWI,MCI,785,299
ABQ,LAX,1834,740
DFW,OKC,2710,1047
EWR,FLL,3440,1275
LAX,MCO,2417,963
GEG,MSP,770,244
LBB,DFW,717,307
DFW,FSD,356,188
ORD,DFW,7677,2949
PHX,FLG,1660,605
SFO,KOA,694,262
PHX,FLL,673,293
CLT,PIT,2462,993
FLL,BUF,586,185
LAS,ELP,651,322
MDW,ABQ,662,267
HOU,SAT,1299,671
DFW,TUS,2198,727
DCA,MCO,3350,1103
LGA,SAV,443,163
SJC,HNL,556,273
DTW,FLL,2624,862
SLC,FCA,887,205
PHX,GJT,993,373
SLC,BTM,667,158
ORD,SEA,3932,1473
PHX,ABQ,2454,1080
PHX,TUS,1155,470
DEN,JMS,526,185
DEN,AUS,2947,1308
DEN,PIT,1001,387
DEN,MEM,700,319
BOS,ATL,4682,1457
BWI,MCO,3113,1261
MDW,MSY,874,296
PHX,LAS,5499,2195
ORF,MCO,432,117
DEN,BWI,1899,758
PHX,MCO,1284,594
SJC,PHX,3111,1085
DEN,LFT,181,52
DEN,ISN,1158,493
DEN,MKE,2037,868
DEN,FCA,778,380
DEN,IAD,3171,1166
DEN,BOS,2407,920
DEN,FLL,1221,429
ROC,CLT,310,100
LGA,RSW,763,276
IAH,SFO,3439,1590
DEN,TUL,1494,683
ELP,LAX,916,382
ELP,PHX,1451,603
LAX,HOU,1543,828
JFK,TPA,2552,835
ATL,MIA,5149,1747
DFW,GUC,129,47
MIA,EYW,549,165
DEN,FAR,1226,544
DEN,SGF,610,286
DEN,ASE,1089,553
LAX,PSP,724,279
IAH,PSP,292,108
DEN,XNA,366,149
DEN,HSV,145,89
DEN,FSD,1315,591
DAL,MSY,2410,1019
MCO,MCI,907,305
PHX,LIT,334,139
PHX,RDU,259,111
PHX,SAT,1549,675
STL,MDW,2127,764
DCA,DFW,3178,1105
HDN,DFW,139,48
SBN,DTW,1299,454
LAX,SJC,6341,2837
DEN,MOT,1020,400
LAX,MSP,3091,1190
DEN,GRR,695,289
DEN,MSN,716,255
DEN,RAP,589,251
LAS,OAK,3455,1439
OAK,MDW,998,375
SMF,MDW,417,137
HOU,IND,540,259
MIA,JFK,3596,1532
SEA,MCI,489,200
DFW,MOB,964,469
DFW,GGG,643,229
SBP,SFO,1043,322
DEN,BHM,330,164
EWR,IAD,738,268
IAH,BFL,492,187
ATL,MKE,3160,905
DAL,LAX,2473,1359
LAS,PHX,5499,2218
PHX,MSY,398,166
STL,DAL,2120,885
STL,HOU,1226,481
LAS,JFK,3705,1376
SJC,DFW,1511,431
SAN,LIH,199,49
BOS,CHS,338,104
DFW,ROW,973,323
JAN,DFW,2278,1046
ORD,CLE,3937,1528
DEN,DSM,973,430
ROC,ORD,1679,551
DEN,SHV,318,176
MSY,IAH,2681,886
BZN,DEN,865,291
BOS,MCO,2852,1132
SAT,PHL,231,73
ATL,SAT,2864,924
DAL,ABQ,1572,782
LAS,FNT,334,133
LAS,TUS,1099,483
OAK,DEN,1252,600
SAN,LAS,4095,1764
HOU,TPA,967,537
DFW,DCA,3177,1152
COS,DFW,1080,296
SEA,KOA,592,196
IAH,CHS,575,321
ORD,IND,3026,993
DFW,RSW,1166,484
LAX,SLC,5538,2300
IAH,TUL,1805,692
IAH,RDU,492,228
PHX,TPA,998,450
DFW,JFK,558,253
ORD,ELP,578,281
ORD,CMX,667,200
PSP,PHX,1722,753
SFO,EUG,1864,747
IAH,FLL,1848,787
EWR,IND,1224,440
PIT,CLT,2414,661
DEN,LGA,3299,1236
MDW,MCO,2581,905
EWR,EGE,111,51
DFW,OGG,504,326
MSY,DFW,2634,788
BOI,MSP,703,209
SDF,IAH,413,188
SAN,HNL,639,344
IAH,BZN,21,14
LAX,JFK,12015,3972
MKE,ATL,3156,776
RSW,ATL,3915,927
AGS,ATL,2360,1004
BWI,LAX,1115,508
FLL,ISP,566,209
JAX,ATL,5096,1480
MEM,MCO,383,126
MSY,MDW,863,316
OKC,HOU,1229,462
STL,DFW,2536,840
ORD,RSW,1827,721
ABQ,MSP,215,72
FLL,CVG,492,147
ORD,BNA,3577,1406
ORD,ABQ,550,237
CHS,JFK,1201,485
HOU,CRP,1250,556
MCI,DAL,2163,814
MCO,MHT,700,249
OAK,ONT,2144,934
OAK,SAN,3540,1625
SFO,DFW,4555,1788
LAS,PDX,2582,884
ATL,SAN,2047,504
ELP,IAH,1594,510
SFO,MCI,576,289
SEA,OMA,335,133
FNT,ORD,1860,575
SFO,ORD,7380,2842
TVC,ORD,1784,534
OAK,BOI,659,282
OAK,MCI,296,134
TPA,CMH,680,245
PHX,SMF,3160,1290
SAT,DFW,4715,1194
TUL,DFW,2629,794
ORD,BMI,959,259
SFO,OKC,333,196
BOS,SEA,1494,662
SFO,TUS,654,356
HRL,IAH,1199,289
JAX,BOS,689,244
ATL,CID,883,386
SFO,BUR,1581,527
LAS,SEA,5028,1693
OAK,LAS,3493,1376
PHL,BNA,630,209
PHX,RNO,1718,624
ORD,AUS,2239,947
SAN,DFW,3299,956
ATL,TUS,617,152
ATL,PHX,3651,1128
ATL,BMI,877,465
ORD,COU,648,265
ORD,BIS,333,114
LAX,SBP,1372,461
SFO,ABQ,334,174
CRP,IAH,2140,653
FLL,ALB,346,76
SAN,MCO,505,244
SJC,LAS,2802,1155
DFW,HNL,697,435
ABQ,IAH,861,293
SFO,SUN,170,74
LAX,OAK,6288,2821
ORD,SPI,997,386
SFO,SAT,359,155
SFO,AUS,2034,771
PHX,CLT,2808,1254
BWI,SAT,790,298
TPA,AUS,337,78
OAK,SEA,3221,1401
PDX,LAS,2566,896
EWR,LAX,4603,1837
LAS,MIA,1395,589
SFO,DTW,1308,409
DFW,DTW,2648,998
ATL,AVL,1858,612
DFW,CRP,1496,751
ORD,SDF,1016,356
DFW,GRK,2625,925
ORD,CHA,381,107
SLC,CDC,573,337
JAX,ORD,589,265
TUL,DTW,224,85
DEN,LBB,617,326
BOS,CLT,3590,1400
