origin,destination,count,1,2,3,4,5,6,7,8,9,10,11,12
SDF,DFW,298,1,1,1,10,1,10,10,10,10,10,10,1
DEN,PDX,3436,2,1,0,10,1,10,10,10,10,10,1,1
LAX,STL,1468,0,1,10,0,10,0,10,0,10,10,10,10
DEN,SNA,3353,1,1,0,0,0,0,0,0,0,10,1,1
IAH,HRL,1201,1,10,1,1,1,2,10,2,10,10,10,1
DEN,CPR,954,2,1,1,1,0,1,1,10,10,10,1,1
DEN,PSC,702,0,1,1,10,10,10,0,0,10,10,1,1
BWI,DFW,1773,0,1,1,10,1,0,10,0,0,10,10,1
DEN,MSN,716,1,10,10,1,10,0,10,10,10,10,10,1
LFT,DEN,163,2,10,10,10,1,10,10,10,10,10,10,10
FCA,DEN,777,2,0,0,10,10,10,10,0,10,10,10,1
DFW,MOB,964,1,1,1,1,1,1,10,10,10,10,1,1
ORD,DEN,5613,1,1,0,1,0,0,0,0,10,10,1,1
DIK,DEN,341,2,1,2,10,2,1,10,10,10,10,10,10
DEN,GJT,454,2,10,10,1,10,10,10,10,10,10,10,1
DFW,GGG,643,0,0,0,1,0,1,10,10,10,10,1,10
PUB,DEN,264,0,1,10,0,1,10,10,10,10,10,10,10
ASE,IAH,415,1,1,1,1,10,0,10,10,10,10,10,1
DEN,FAR,1226,2,1,1,10,10,10,0,10,10,10,1,1
JFK,AUS,1588,1,1,1,10,2,2,1,10,0,10,2,10
DFW,ROW,973,1,1,1,1,1,0,1,10,10,10,1,1
DFW,DEN,6058,1,1,1,1,1,2,0,10,10,10,1,1
ISN,DEN,1158,2,1,2,2,10,10,0,10,10,10,1,10
BOI,DEN,1922,1,1,0,10,0,0,0,0,10,10,1,1
DEN,OKC,1804,0,1,1,10,1,0,1,0,10,10,1,1
AUS,DAL,3904,0,1,1,0,0,1,0,10,0,10,2,1
DAL,HOU,6262,0,1,0,0,1,0,0,0,0,10,0,0
ORD,MKE,4824,2,1,1,1,0,1,0,1,1,10,1,1
CPR,DEN,956,2,1,1,1,0,1,1,0,10,10,1,1
PDX,DEN,3423,1,10,0,0,10,0,0,10,0,10,1,1
SNA,DEN,3331,1,0,10,10,10,0,0,10,0,10,1,1
GGG,DFW,643,0,0,0,1,1,1,1,10,10,10,1,10
SLC,DEN,6184,0,1,10,1,0,0,1,1,10,10,1,1
DEN,DFW,6135,0,1,1,1,1,0,0,0,0,10,1,1
GJT,DEN,454,2,10,10,1,10,10,10,10,10,10,10,1
PSC,DEN,703,0,10,10,10,10,1,0,0,10,10,10,1
OGG,DFW,504,0,1,0,10,10,0,10,10,10,10,0,0
PHL,SLC,616,1,1,1,10,10,0,10,10,10,10,0,10
DFW,LCH,782,1,1,1,1,1,1,10,10,0,10,1,1
BOS,DEN,2398,1,1,1,10,2,0,0,10,10,10,1,0
DFW,GCK,662,0,1,1,1,0,1,10,0,10,10,1,1
DEN,BUR,1255,2,1,1,1,10,1,10,10,10,10,10,1
DEN,BOI,1947,1,1,1,10,0,0,10,10,10,10,1,1
DEN,FCA,778,2,1,10,1,10,1,10,0,10,10,1,1
DEN,ORD,5567,1,1,0,1,0,0,0,0,0,10,1,1
DFW,JLN,666,0,1,1,1,1,0,0,0,10,10,0,0
PHX,DEN,7204,1,1,0,1,0,0,0,0,10,10,1,1
DEN,ISN,1158,2,1,2,1,10,2,0,10,10,10,1,1
MSN,DEN,724,2,1,2,1,1,0,10,10,0,10,10,1
DEN,LBB,617,1,2,1,1,1,1,1,10,10,10,1,1
DEN,LNK,762,2,1,10,0,1,10,1,10,10,10,10,10
DEN,MOT,1020,2,1,10,10,1,10,0,0,2,10,1,1
TUL,DEN,1461,1,1,1,0,10,0,0,0,10,10,1,1
DEN,ASE,1089,1,1,1,1,1,1,1,2,10,10,1,1
DEN,MSP,5504,1,1,0,10,0,0,1,0,10,10,0,1
DEN,LAR,581,2,1,0,1,0,1,10,0,10,10,1,1
DEN,AMA,563,2,1,10,0,0,10,10,10,10,10,10,1
DFW,BMI,652,0,1,1,1,1,1,10,10,10,10,10,1
FAR,DEN,1226,0,1,1,10,0,0,0,10,10,10,1,1
OKC,DEN,1754,0,1,1,1,0,0,10,0,10,10,1,0
DFW,GSP,484,1,1,1,0,1,1,10,10,10,10,10,10
FLL,MSP,612,0,0,10,10,10,10,10,10,10,10,10,1
DEN,ELP,921,1,2,10,2,10,0,1,10,10,10,1,2
DEN,ABQ,1660,1,1,2,1,10,0,0,0,10,10,1,1
DEN,PSP,989,2,1,10,10,10,0,10,0,10,10,1,1
HNL,LAX,5244,0,0,0,0,0,0,0,0,0,10,0,0
SFO,SAT,359,1,1,10,10,10,10,10,0,10,10,10,10
SLC,CLT,617,0,1,10,10,10,10,1,10,10,10,10,10
MSP,FLL,611,0,0,0,10,10,10,10,10,10,10,10,1
SAT,SFO,365,1,10,10,10,10,0,10,0,10,10,10,1
OAK,DEN,1252,0,0,10,1,0,1,1,10,10,10,1,1
MSP,DEN,5508,0,1,10,10,0,0,0,10,10,10,0,1
MAF,HOU,1121,1,1,10,10,0,0,0,0,10,10,10,1
LAX,OAK,6288,0,0,0,0,0,0,0,0,0,10,0,0
BWI,MDW,1976,1,1,1,0,1,1,1,2,10,10,1,1
MAF,DAL,1522,1,1,1,10,0,0,0,0,10,10,10,1
DAL,MAF,1516,1,1,1,0,1,0,0,0,10,10,10,1
OAK,SAN,3540,0,0,0,0,0,0,0,0,0,10,0,0
ELP,DEN,872,2,1,10,10,1,0,1,10,10,10,1,10
DFW,IND,1594,0,1,1,1,1,1,10,10,10,10,10,1
HOU,MAF,1130,1,1,10,10,1,0,0,0,10,10,10,1
DFW,LBB,718,1,1,1,1,1,10,10,10,10,10,10,1
DAL,LBB,1572,1,1,1,10,1,0,10,10,10,10,0,1
BUR,DEN,1245,2,1,10,1,10,0,10,10,10,10,10,1
ASE,SFO,201,1,1,1,1,10,10,10,10,10,10,10,1
STL,LAX,1458,0,1,10,0,10,10,10,0,10,10,10,10
LAX,SEA,7732,0,0,10,0,0,0,0,0,0,10,0,0
IAH,LBB,1067,1,1,1,2,1,1,1,2,10,10,1,1
TYS,DEN,286,2,1,10,10,10,10,10,10,10,10,10,10
ORD,CVG,4011,1,1,1,1,1,2,2,1,1,10,1,1
LAX,CLT,1959,0,1,10,10,10,0,0,0,10,10,10,10
SAN,OAK,3552,0,0,0,0,0,0,0,0,0,10,0,0
LBB,DFW,717,1,1,1,1,1,10,10,10,10,10,10,1
DEN,MLI,189,2,1,10,1,10,10,10,10,10,10,10,10
LBB,DAL,1572,1,1,1,10,1,1,10,10,10,10,1,1
DEN,RAP,589,2,1,10,10,0,10,10,0,10,10,1,0
DEN,DSM,973,2,10,0,10,10,0,2,10,10,10,10,1
MAF,LAS,559,1,0,10,10,10,10,10,10,10,10,10,1
DFW,OGG,504,0,1,0,10,10,0,10,10,10,10,10,0
SFO,ORD,7380,1,1,0,1,0,0,0,0,10,10,1,1
LAS,MAF,557,1,10,10,10,0,10,10,10,10,10,10,1
LBB,IAH,1067,1,1,1,1,1,1,1,2,10,10,1,1
DEN,BNA,2074,2,1,1,1,0,0,10,1,10,10,10,1
DEN,HYS,572,1,1,10,10,10,10,2,0,0,10,1,1
PSP,SEA,839,0,10,10,10,10,10,10,10,10,10,10,10
IND,DFW,1593,0,1,1,1,1,1,0,10,0,10,10,1
DEN,ONT,1160,2,1,10,2,10,1,0,10,10,10,1,1
SLC,BWI,992,0,10,1,10,10,10,10,10,10,10,10,10
LBB,LAS,334,1,1,10,10,10,10,10,10,10,10,10,1
BTR,ATL,2511,1,0,0,10,1,1,10,0,10,10,1,1
RAP,DEN,563,2,1,10,10,0,10,10,0,10,10,10,0
MDW,STL,2147,0,1,1,1,1,1,0,1,10,10,1,1
SEA,LAX,7765,0,0,10,0,0,0,0,10,2,10,0,0
ORD,MEM,2228,0,1,1,1,1,1,2,2,2,10,1,1
GCC,DEN,634,1,1,10,0,10,10,10,10,10,10,1,1
ONT,DEN,1176,2,10,10,2,1,1,0,0,10,10,1,1
MLI,DEN,187,2,1,10,1,0,10,10,10,10,10,10,10
DSM,DEN,1158,2,0,0,10,10,1,10,10,0,10,1,1
STL,MDW,2127,0,1,1,1,1,1,0,1,10,10,1,1
HYS,DEN,573,1,1,10,1,10,10,2,0,0,10,1,1
ATL,BTR,2512,1,2,1,10,10,1,1,1,10,10,1,1
LBB,DEN,618,1,2,1,1,10,1,1,10,10,10,1,1
MEM,ORD,2231,0,1,1,2,1,2,2,1,2,10,1,1
SEA,SJC,4029,0,10,10,10,0,0,0,10,10,10,1,10
HOU,DAL,6296,0,1,0,0,1,0,0,0,0,10,0,0
SLC,BNA,346,0,1,10,10,10,10,10,10,10,10,10,10
DEN,PUB,264,0,1,10,0,1,10,10,10,10,10,10,10
DEN,CID,672,2,1,10,1,10,10,10,10,10,10,10,1
AUS,LBB,320,1,1,10,10,10,10,10,10,10,10,0,1
MDW,DCA,2895,0,1,1,0,1,1,0,2,2,10,1,1
ORD,LIT,2031,0,1,1,2,0,2,2,1,1,10,1,1
JAC,DEN,1084,2,2,10,10,10,0,10,10,1,10,0,1
ORD,MSP,6361,1,1,1,0,1,1,0,1,0,10,1,1
SJC,SEA,4025,0,10,0,10,0,0,0,10,10,10,1,10
AMA,DEN,563,2,2,10,0,0,10,1,10,10,10,10,1
BWI,SLC,992,0,10,1,10,10,10,0,10,10,10,10,10
IAH,LGA,2340,1,1,1,1,2,0,0,1,0,10,0,1
ATL,MCI,3478,1,1,10,0,10,0,0,0,0,10,0,1
DEN,COD,315,1,1,1,1,0,10,10,10,10,10,10,10
TPA,TTN,185,1,1,10,10,10,10,10,10,10,10,1,10
CID,DEN,812,2,1,1,10,0,1,10,0,0,10,1,1
DTW,MCI,1420,1,0,1,10,10,10,10,0,10,10,10,10
MSP,MCI,1897,1,1,10,10,0,10,0,0,10,10,10,10
LIT,ORD,2039,0,1,1,2,2,2,2,1,0,10,1,1
DEN,FSD,1315,0,1,10,1,0,1,1,10,10,10,1,1
DEN,HLN,334,2,1,10,10,10,1,10,10,10,10,1,1
MSP,ORD,6296,1,1,1,0,0,1,0,0,1,10,1,1
SEA,GEG,3178,1,10,0,10,0,0,0,0,10,10,1,0
HNL,EWR,330,1,0,10,0,10,10,0,10,0,10,10,10
